Perspicuity,Aesthetics,Usefulness,Clarity,design
2.25,0.5,2.75,3.0,infographics
2.75,2.75,2.75,2.5,conversation
2.5,1.75,2.0,2.25,reflection
1.0,1.5,2.0,1.25,reflection
-1.25,-1.0,-1.75,-0.25,conversation
1.75,-1.0,1.25,1.5,onlinechat
0.5,0.75,1.75,2.0,onlinechat
2.0,0.25,1.5,2.0,conversation
2.25,2.5,1.75,3.0,conversation
3.0,1.25,2.5,2.75,reflection
1.5,1.0,2.0,2.25,conversation
1.25,1.5,1.5,1.25,infographics
1.5,0.25,0.75,1.0,reflection
1.0,0.0,-0.75,1.5,onlinechat
2.25,2.75,2.5,2.25,conversation
-0.25,0.25,2.0,1.5,onlinechat
0.0,1.0,-0.5,0.75,conversation
-0.25,0.75,-0.25,0.75,onlinechat
2.25,2.0,2.25,2.0,onlinechat
0.25,0.0,0.5,0.5,reflection
1.0,0.0,1.0,1.0,reflection
-0.25,1.75,1.0,0.5,conversation
2.75,0.75,2.25,2.75,reflection
2.75,2.0,2.75,3.0,infographics
0.25,0.5,0.25,-0.25,onlinechat
1.5,2.25,2.25,1.75,reflection
3.0,3.0,3.0,3.0,infographics
2.0,1.75,2.0,2.0,reflection
2.75,2.0,2.25,2.25,conversation
2.75,1.75,2.75,2.25,reflection
2.75,1.5,3.0,2.25,onlinechat
2.25,1.5,2.0,1.75,reflection
2.25,2.0,2.75,2.5,conversation
-0.5,-1.5,2.25,0.25,infographics
-0.5,1.75,1.25,0.75,conversation
1.5,0.25,1.0,1.5,onlinechat
3.0,3.0,3.0,3.0,infographics
0.0,0.75,1.0,1.75,infographics
-0.5,0.5,0.75,-0.75,infographics
3.0,3.0,3.0,3.0,reflection
0.75,1.75,1.25,1.75,reflection
0.25,0.0,0.0,-0.25,onlinechat
2.5,1.75,2.5,2.5,onlinechat
2.75,1.75,2.75,3.0,reflection
1.25,0.5,0.5,3.0,onlinechat
3.0,3.0,3.0,3.0,conversation
0.25,1.5,-1.25,1.25,onlinechat
1.0,2.25,2.0,1.75,reflection
0.5,0.5,-1.25,0.0,reflection
0.0,0.25,1.75,1.0,infographics
1.0,0.75,1.25,1.5,infographics
0.75,0.0,0.5,0.75,onlinechat
2.25,1.0,2.75,3.0,infographics
3.0,3.0,3.0,3.0,reflection
2.25,1.25,1.75,1.25,conversation
3.0,2.5,3.0,2.75,conversation
3.0,3.0,3.0,3.0,conversation
2.0,0.75,2.0,2.0,reflection
2.5,-1.0,3.0,3.0,infographics
3.0,1.25,3.0,2.5,infographics
3.0,3.0,3.0,3.0,onlinechat
1.75,0.75,2.5,2.75,infographics
2.0,0.5,2.0,2.0,reflection
0.25,-1.0,-0.5,1.0,infographics
1.25,1.0,1.5,2.0,onlinechat
3.0,3.0,3.0,3.0,reflection
0.5,0.0,0.25,0.75,reflection
-0.25,-0.25,0.0,0.0,onlinechat
2.25,2.25,2.5,2.0,onlinechat
2.5,2.0,2.25,2.5,reflection
1.5,0.75,2.5,2.25,infographics
3.0,1.0,2.5,3.0,conversation
1.25,0.0,-2.75,2.0,infographics
2.75,2.75,3.0,3.0,onlinechat
1.75,0.5,1.5,2.0,reflection
2.5,1.5,2.75,3.0,onlinechat
2.0,0.5,0.25,3.0,infographics
2.0,1.0,2.0,1.75,conversation
3.0,1.75,3.0,3.0,infographics
1.25,-0.25,0.5,0.5,conversation
1.25,2.0,3.0,0.0,conversation
1.75,0.75,1.25,2.5,conversation
-0.25,1.0,-1.25,1.25,onlinechat
2.25,0.75,0.25,1.5,infographics
3.0,1.75,2.75,2.5,reflection
-0.5,0.75,0.5,-0.25,infographics
2.25,1.75,1.75,2.0,onlinechat
3.0,1.0,2.5,2.75,infographics
3.0,2.25,3.0,3.0,conversation
2.0,2.0,2.0,1.25,conversation
0.75,2.25,1.5,1.5,onlinechat
1.0,-1.5,0.5,1.25,infographics
0.5,0.5,0.5,1.5,infographics
-0.25,0.5,-1.0,-0.25,conversation
2.5,2.0,2.0,2.25,onlinechat
3.0,2.5,2.75,3.0,onlinechat
0.75,1.5,-0.75,0.25,onlinechat
-0.5,-2.75,2.25,0.0,infographics
1.25,0.5,0.75,2.0,conversation
3.0,3.0,3.0,3.0,reflection
-0.75,-1.0,-0.5,-0.25,infographics
1.75,0.75,2.25,2.25,reflection
3.0,2.5,2.5,2.25,conversation
1.0,1.25,0.5,2.5,conversation
